state,income,year
OKLAHOMA,35400,2010
OREGON,34500,2010
PENNSYLVANIA,35700,2010
RHODE ISLAND,30200,2010
SOUTH CAROLINA,31300,2010
SOUTH DAKOTA,35400,2010
TENNESSEE,30200,2010
TEXAS,38300,2010
UTAH,48400,2010
VERMONT,37700,2010
VIRGINIA,42900,2010
WASHINGTON,44800,2010
WEST VIRGINIA,30400,2010
WISCONSIN,38300,2010
WYOMING,48700,2010

ALABAMA,30000,2009
ALASKA,52300,2009
ARIZONA,40200,2009
ARKANSAS,32700,2009
CALIFORNIA,45300,2009
COLORADO,44000,2009
CONNECTICUT,49100,2009
DELAWARE,41700,2009
DISTRICT OF COLUMBIA,22600,2009
FLORIDA,37000,2009
GEORGIA,34800,2009
HAWAII,55000,2009
IDAHO,39800,2009
ILLINOIS,39400,2009
INDIANA,34800,2009
IOWA,40600,2009
KANSAS,38000,2009
KENTUCKY,28800,2009
LOUISIANA,32400,2009
MAINE,29900,2009
MARYLAND,54700,2009
MASSACHUSETTS,40900,2009
MICHIGAN,33500,2009
MINNESOTA,41500,2009
MISSISSIPPI,28400,2009
MISSOURI,33200,2009
MONTANA,32700,2009
NEBRASKA,40000,2009
NEVADA,45800,2009
NEW HAMPSHIRE,46000,2009
NEW JERSEY,51000,2009
NEW MEXICO,35400,2009
NEW YORK,38800,2009
NORTH CAROLINA,32200,2009
NORTH DAKOTA,41900,2009
OHIO,32000,2009
OKLAHOMA,33000,2009
OREGON,38500,2009
PENNSYLVANIA,36000,2009
RHODE ISLAND,37300,2009
SOUTH CAROLINA,32000,2009
SOUTH DAKOTA,41500,2009
TENNESSEE,30000,2009
TEXAS,38000,2009
UTAH,47200,2009
VERMONT,36100,2009
VIRGINIA,44000,2009
WASHINGTON,42600,2009
WEST VIRGINIA,28000,2009
WISCONSIN,38500,2009
WYOMING,40400,2009

ALABAMA,31800,2008
ALASKA,55200,2008
ARIZONA,43000,2008
ARKANSAS,31900,2008
CALIFORNIA,47800,2008
COLORADO,43600,2008
CONNECTICUT,51800,2008
DELAWARE,49300,2008
DISTRICT OF COLUMBIA,30100,2008
FLORIDA,40200,2008
GEORGIA,37400,2008
HAWAII,59100,2008
IDAHO,41800,2008
ILLINOIS,42800,2008
INDIANA,36700,2008
IOWA,38700,2008
KANSAS,38900,2008
KENTUCKY,29600,2008
LOUISIANA,34200,2008
MAINE,34500,2008
MARYLAND,54000,2008
MASSACHUSETTS,44800,2008
MICHIGAN,36700,2008
MINNESOTA,43800,2008
MISSISSIPPI,28900,2008
MISSOURI,35600,2008
MONTANA,32600,2008
NEBRASKA,38300,2008
NEVADA,51100,2008
NEW HAMPSHIRE,48800,2008
NEW JERSEY,54600,2008
NEW MEXICO,36200,2008
NEW YORK,40400,2008
NORTH CAROLINA,35800,2008
NORTH DAKOTA,46000,2008
OHIO,34100,2008
OKLAHOMA,35200,2008
OREGON,37200,2008
PENNSYLVANIA,38400,2008
RHODE ISLAND,35600,2008
SOUTH CAROLINA,34400,2008
SOUTH DAKOTA,39400,2008
TENNESSEE,31200,2008
TEXAS,39900,2008
UTAH,50900,2008
VERMONT,36600,2008
VIRGINIA,43800,2008
WASHINGTON,44000,2008
WEST VIRGINIA,29500,2008
WISCONSIN,44800,2008
WYOMING,48200,2008
